"instagram_id", "max_posts", "follower", "numMonth", "numWeek", "recent_post_date"
propelua_inc,12,389,9,2,20180902
props_nakameguro,12,2341,12,5,20180902
prsf_works,12,90,0,0,20171113
cuttingdorothy,12,343,12,0,20180823
p_tail_2015,12,451,0,0,20180409
pinetreebench,12,29,0,0,20170709
pucapucaofficial,12,10962,0,0,20180725
PuchiHappy,12,1436,12,5,20180903
pulehina,12,87,12,4,20180901
risamotoyama,12,244,12,6,20180903
propelua_inc,12,389,9,2,20180902
props_nakameguro,12,2341,12,5,20180902
prsf_works,12,90,0,0,20171113
cuttingdorothy,12,343,12,0,20180823
p_tail_2015,12,451,0,0,20180409
pinetreebench,12,29,0,0,20170709
pucapucaofficial,12,10962,0,0,20180725
PuchiHappy,12,1436,12,5,20180903
pulehina,12,87,12,4,20180901
risamotoyama,12,244,12,6,20180903
gallery_purupuru,12,286,2,0,20180826
qestwear,12,1775,0,0,20180716
qobc_clothing,12,124,0,0,20180714
qooga_photo,12,3055,4,2,20180830
qtcraftsea,12,93,3,0,20180823
rafelice13,12,181,6,1,20180831
raffinato.select,12,101,0,0,20180315
felice_regaro_raftelll,12,228,12,3,20180903
kuririn.fortune,12,108,12,3,20180828
NA,12,57622,6,3,20180902
himejilnk,12,1232,0,0,20180609
tipsy_baby,12,2249,12,10,20180903
rakthai_lincii,12,30,0,0,20180715
ram95gram,12,7929,12,3,20180902
ramuneid,12,320,4,1,20180830
rangolibindijp,12,6,2,0,20180807
rararashanty,12,447,0,0,20180721
propelua_inc,12,389,9,2,20180902
props_nakameguro,12,2341,12,5,20180902
prsf_works,12,90,0,0,20171113
cuttingdorothy,12,343,12,0,20180823
p_tail_2015,12,451,0,0,20180409
pinetreebench,12,29,0,0,20170709
pucapucaofficial,12,10962,0,0,20180725
PuchiHappy,12,1436,12,5,20180903
pulehina,12,87,12,4,20180901
risamotoyama,12,244,12,6,20180903
gallery_purupuru,12,286,2,0,20180826
qestwear,12,1775,0,0,20180716
qobc_clothing,12,124,0,0,20180714
qooga_photo,12,3055,4,2,20180830
qtcraftsea,12,93,3,0,20180823
rafelice13,12,181,6,1,20180831
raffinato.select,12,101,0,0,20180315
felice_regaro_raftelll,12,228,12,3,20180903
kuririn.fortune,12,108,12,3,20180828
NA,12,57622,6,3,20180902
himejilnk,12,1232,0,0,20180609
tipsy_baby,12,2249,12,10,20180903
rakthai_lincii,12,30,0,0,20180715
ram95gram,12,7929,12,3,20180902
ramuneid,12,320,4,1,20180830
rangolibindijp,12,6,2,0,20180807
rararashanty,12,447,0,0,20180721
raro_accessory,12,1207,11,1,20180901
ravie.2016,12,378,12,5,20180902
ravissant_bijoux,12,400,0,0,20180701
rays.kyoto,12,349,0,0,20180702
rayaccessories.wsk,12,111,12,5,20180903
rbfm_plus,12,2153,12,7,20180903
realizesound,12,729,10,4,20180901
harukioso,12,258,12,2,20180830
rebellious_behavior,12,289,3,3,20180903
REBELMUSICAL,12,585,4,1,20180828
re__birth,12,1164,12,12,20180901
shop_recolter,12,465,5,1,20180828
re_daction,9,203,0,0,20180701
redink_art_craft,12,367,1,0,20180811
reel__official,12,426,3,1,20180830
Reine__official,12,2395,0,0,20180211
reine_kobe,12,1694,2,0,20180811
reisan72,12,4476,6,2,20180830
relafine.fb,12,340,1,1,20180902
reverylibrary,12,215,8,6,20180902
renaga.shop,12,101,0,0,20180720
reussir_online,11,593,0,0,20180618
r.h.y.o.chie,12,393,12,9,20180830
tantan2010_rianas_style,12,506,10,1,20180831
ri.cc.a,12,82,3,0,20180823
ricca_soja,12,2403,12,11,20180903
richpeace___,12,207,3,0,20180824
sunxlife,12,605,0,0,20180106
riekim,12,2773,12,8,20180903
pepacofansclub,12,240,0,0,20170827
riki8105,12,976,0,0,20180511
rikolekt,12,1060,1,0,20180808
rin8890__tokyo,12,96,0,0,20180712
RIPPERSyanagawa,0,0,0,0,19700101
ShoziIwasaki,12,124,12,1,20180830
rire0929,12,1412,12,12,20180903
sorika03,12,146,1,0,20180820
rita_romi,12,254,12,6,20180903
ritia_select,12,147,0,0,20170522
r_armoire,12,428,0,0,20180617
kuroneko_design,12,708,12,8,20180901
dale1484,12,949,12,9,20180903
rocca.k,12,270,0,0,20180507
rochely_official,12,677,0,0,20180723
rockwellvix,12,404,6,2,20180828
rocos,12,469,5,3,20180903
rogerandraw.shibuya109,12,402,2,2,20180903
roi_accessories,9,314,0,0,20180705
rokkodo.since1921,12,129,12,6,20180903
NA,12,57622,6,3,20180902
kohakoha222,12,993,6,2,20180902
rompgarden.ma,12,264,1,0,20180808
rondpoint_aya,0,180,0,0,19700101
ronmimir,12,1385,5,3,20180901
nyctophilia_jp,12,161,7,0,20180826
yuma0500,12,333,1,0,20180823
rose_and_mo,12,97,0,0,20171018
akikoshintou,12,320,1,0,20180804
Princess.615,12,463,0,0,20180713
rosy_tokyo,12,1669,3,1,20180831
kao_rooh.rox_design,12,275,10,1,20180829
run_so_categorize,12,278,10,3,20180831
atsuhideyukumi,12,1409,12,12,20180903
shopluana,12,153,10,2,20180830
ruco_mira,12,207,2,1,20180901
ruedeboy,12,179,8,2,20180902
yoshieuzu,12,1259,4,0,20180824
ru_rin_no,12,154,1,0,20180807
amayayuka_rurun,12,149,2,0,20180816
saya_rusalie,12,650,3,0,20180810
wearrui,12,2742,12,4,20180902
ruulux,12,282,12,6,20180902
NA,12,57622,6,3,20180902
ryokuen.tokyo,12,1311,12,7,20180902
ryutetsunikki,12,150,12,7,20180902
sa0rrry,12,1140,7,2,20180902
sabrina_walnut_st,12,1061,10,2,20180830
saccoandsnow,12,1951,1,1,20180828
hisakooi,12,5012,12,2,20180829
_sac_la_,12,57,1,0,20180825
sumire_bouquet,12,2046,12,7,20180902
sagehashicollection,12,85,3,2,20180903
toki_italian_sai,12,98,0,0,20180721
022performance,12,958,12,7,20180903
daisuke_kinto,12,316,0,0,20180705
100min.de.francais,12,8,0,0,20180101
10fit_jp,12,636,10,2,20180831
10square_marutee,12,2665,0,0,20180630
110aika110,12,93,1,0,20180804
kanamoji.design,7,69,3,0,20180811
123.mart,12,1708,0,0,20180629
138chiikineko,12,159,12,12,20180902
14bankobo,12,144,0,0,20180606
ikoyo_official,12,4530,12,5,20180903
warunekokun,0,5,0,0,19700101
199bnf,12,1164,5,2,20180901
pc.1banbo4,12,68,0,0,20180411
_1_ca_,12,1582,5,0,20180827
coral___life,12,2001,3,1,20180830
ak__2016,12,740,0,0,20180505
handmade.c4,12,128,4,0,20180810
247_market,12,319,4,0,20180812
24fragrance_inc,12,402,2,1,20180831
takeshi_24sekki,12,1111,3,0,20180821
2dare_official,12,120,12,1,20180901
2rc_official,12,837,0,0,20180603
kitchen_qumo,12,298,4,1,20180901
everyday365t,3,2,0,0,20160419
37camp,12,102,6,1,20180901
minamiyonokidsangel,12,33,1,0,20180814
3o_spice,12,3416,12,7,20180902
indyryota,12,658,0,0,20180729
i.l.e.t.e.l.l.e,12,43,3,3,20180902
yokoichi777,12,10194,4,1,20180902
513moment_for_kids,12,259,0,0,20180722
5150products,12,143,0,0,20180413
55gohan,12,2015,12,6,20180903
5gatsudo,12,1418,12,6,20180831
5senses_collection,12,396,12,3,20180903
636crux,1,0,0,0,20150210
6backwoods,12,156,0,0,20180723
102_oneotwo,12,1849,12,6,20180902
7color.handmade,12,1192,12,5,20180903
7colors_n,12,7,0,0,20170517
87toiro,12,349,7,0,20180823
88ohana_hachi88,12,1559,12,2,20180903
you_hman,12,131,2,0,20180813
eight_league_fukuoka,12,576,1,1,20180901
abesakebrewery,12,565,9,2,20180903
sportsintersection,12,1382,5,2,20180901
kiyoe175,0,183,0,0,19700101
accessory.muw,12,725,1,0,20180811
tie_accessory,12,75,7,4,20180831
ACOT_CAKE,12,800,9,1,20180831
emiadachi_kamikirimushi,12,1111,12,7,20180903
adom_tokyo,0,23,0,0,19700101
adupretokyo,12,1020,3,3,20180831
yumi26aq,12,229,5,2,20180903
af_lien,12,148,2,0,20180826
agapehealingcrystal,12,131,10,2,20180830
agito_vintage,12,398,9,1,20180827
southerndeliagoo,12,394,4,1,20180830
ah_n__,6,421,6,4,20180901
ahplus.puripuri,12,2723,12,2,20180831
ahs_handmade,12,396,3,0,20180827
anna.sonoda,12,9357,12,10,20180902
thecirculationoflove,12,308,4,2,20180903
airan.05,12,109,0,0,20180630
lapislazulilove,3,147,0,0,20180610
cochococho_kyoto,12,76,8,2,20180901
iz17.jp,11,12,0,0,20180607
ajianlucu1919,12,320,3,0,20180824
ak2015_3,12,1148,3,1,20180831
aka_handmade,12,856,2,1,20180903
akaneiro.accessory,12,784,12,6,20180902
akanesas_football,12,404,12,10,20180903
aki.cherryblossom.0411,12,1111,12,4,20180902
akihiro_sumiyoshi,12,612,9,3,20180902
akimotocoffee,12,2732,12,12,20180903
akinaiyamani,12,216,0,0,20180722
akinaruji,12,463,2,1,20180902
akira9093,12,4647,12,9,20180903
kamehama_takashi,12,537,12,9,20180903
akyuu.handcrafted,0,9,0,0,19700101
albumcafe.dfamily0,12,251,4,2,20180831
alia_m16,0,180,0,0,19700101
alicedoll_17,12,197,0,0,20180722
riz_a.m,12,228,12,3,20180903
alii_market31,12,418,0,0,20171002
ArtSelectShopAlii,12,256,5,1,20180902
vivante_base,12,42,0,0,20180125
alisa_select,12,77,0,0,20180405
alizeti_fashion,12,632,0,0,20180403
allegresse.time,12,764,12,12,20180903
allgood_7891,12,700,12,6,20180902
hiromi.saito.355,12,303,10,1,20180901
al.mondo0127,12,2667,12,6,20180903
aloalo_hat,12,226,12,6,20180903
alohacoand,12,373,5,0,20180818
ALOHAEKOMOMAI,12,714,10,1,20180830
moani_photo_salon,12,280,12,6,20180902
ayaka_alohaoi,12,8838,11,2,20180830
TOKYOWOODPICK,12,150,0,0,20180622
xxaazxx,12,164,9,0,20180819
alwanmaroc,12,499,12,4,20180902
amaashi_band,12,104,0,0,20180305
gajumaruphoto,12,3742,8,2,20180901
aaamemiii,12,303,12,1,20180831
amerie.fashionstore,12,201,0,0,20180519
miki_aoya,12,492,1,0,20180825
amilatte_jazz,12,444,0,0,20180505
aminomania.jp,3,10,0,0,20170823
NA,12,57621,6,3,20180902
amorphous_1st,12,109,12,1,20180827
amour_jp,12,654,0,0,20180605
amour_d.ete,12,272,0,0,20180717
amuritano_niwa,12,201,1,0,20180813
amyu_rr,12,197,0,0,20180316
analogic_yutenji,12,360,0,0,20170503
analogsiki,10,1,0,0,20180503
herbarium_an_mon,12,347,12,2,20180831
anbow_tochigi,12,461,10,3,20180901
anchori,12,1714,0,0,20180726
and2007,12,1137,2,0,20180818
andgraphics,12,532,4,0,20180826
andma.style,12,281,8,4,20180902
00anela00,12,51,0,0,20180714
anela_miki,12,181,0,0,20180619
anela.chappy,12,210,12,4,20180903
anela_liona,12,312,1,1,20180828
anemoneyouth_jp,12,91,1,1,20180901
anfamous_17,12,343,12,0,20180826
i_am_97girl,12,2035,11,8,20180903
angebloom_official,12,3191,12,5,20180902
tuki.to.taiyou,0,0,0,0,19700101
anima_florist,12,538,12,5,20180903
anncrea,12,420,12,4,20180903
anne.coquet.trunk,12,282,1,0,20180823
anonhat_asakokiyosawa,12,692,12,2,20180830
yukarikomatsuzaki,12,731,12,2,20180828
anticotter,12,1049,6,0,20180827
arco_iris777,12,182,12,12,20180902
anutrof.blanchet,12,2270,6,0,20180819
aoh_bikini,12,243,0,0,20180725
nei.aoi,12,578,1,1,20180829
iu09aoirob,12,19,0,0,20180608
arkaic_blue,12,292,9,1,20180903
aotamanyaaaan,12,1292,12,4,20180903
ayakosasakiporcelain,12,1877,11,5,20180903
apoul_official_jp,12,243,12,0,20180826
appartement_paris,12,65,0,0,20180616
ringo_ouji,12,4222,12,4,20180903
appli_base,12,85,1,0,20180817
apporodist,12,285,0,0,20180803
leather_aqulia,12,182,3,0,20180826
area54_jdm,12,313,2,1,20180828
areren2013,12,125,2,0,20180817
aretha_zakkashop,12,2778,8,1,20180903
miyaramasaaki,12,5504,1,0,20180826
_____arinco__,12,219,10,2,20180831
