instagram_id,max_posts,follower,numMonth,numWeek,recent_post_date
shop.esora,12,181,0,0,19700101
daisuke_kinto,12,317,0,0,19700101
0798BRANCH,12,290,0,0,19700101
bunta.r,12,16485,0,0,19700101
yujikudo,12,212,0,0,19700101
burn_design_store,12,264,0,0,19700101
10fit_jp,12,637,0,0,19700101
10square_marutee,12,2659,0,0,19700101
1125select,12,189,0,0,19700101
138chiikineko,12,159,0,0,19700101
13groovystory,12,251,0,0,19700101
yokai.ehon,12,162,0,0,19700101
14bankobo,12,143,0,0,19700101
14kgf,12,54,0,0,19700101
164bikes,12,71,0,0,19700101
warunekokun,0,5,0,0,19700101
_1_ca_,12,1580,0,0,19700101
one.kichijoji,12,3477,0,0,19700101
handmade.c4,12,127,0,0,19700101
2017mmw,12,323,0,0,19700101
takeshi_24sekki,12,1111,0,0,19700101
a_tsubaki,1,2,0,0,19700101
2rc_official,12,829,0,0,19700101
kbc3745,12,272,0,0,19700101
minamiyonokidsangel,12,33,0,0,19700101
instagraamiyaa,12,136,0,0,19700101
3o_spice,12,3430,0,0,19700101
shirokuma_seikaten,12,162,0,0,19700101
46n_yoron,12,1147,0,0,19700101
4ma4maworks,12,931,0,0,19700101
nagisane_store,12,52,0,0,19700101
5150products,12,143,0,0,19700101
Magnolia_Ket.E,1,5,0,0,19700101
6backwoods,12,156,0,0,20180723
102_oneotwo,12,1851,0,0,19700101
716DROP,12,373,0,0,19700101
karasukarasukarasu,12,383,0,0,19700101
7color.handmade,12,1232,0,0,19700101
7matsugoro_staff,12,354,0,0,19700101
7milesclub,12,1665,0,0,19700101
88ohana_hachi88,12,1559,0,0,19700101
you_hman,12,131,0,0,19700101
8kumas,12,791,0,0,19700101
a4wallet,12,157,0,0,19700101
abirakurara,12,258,0,0,19700101
aboveu_official,12,36,0,0,19700101
sportsintersection,12,1395,0,0,19700101
onlineacacia,7,20,0,0,19700101
acchakoccha,12,687,0,0,19700101
aceplus_webstore,12,88,0,0,19700101
aceusedclothing,12,282,0,0,19700101
katayama_aco,12,827,0,0,19700101
ACOT_CAKE,12,799,0,0,19700101
activekids0,12,504,0,0,19700101
emiadachi_kamikirimushi,12,1114,0,0,19700101
adelheid_brand,12,276,0,0,19700101
adeos.fukui,12,2443,0,0,19700101
adeyakakirie,12,224,0,0,19700101
tanon1298,12,100,0,0,19700101
admaiora_designare,12,23353,0,0,19700101
adoka0208,12,101,0,0,19700101
