instagram_id,max_posts,follower,numMonth,numWeek,numMonthTag,numWeekTag,recent_post_date
10fit_jp,12,637,10,2,0,0,20180903
247_market,12,318,4,0,0,0,20180812
takeshi_24sekki,12,1111,3,0,0,0,20180821
2dare_official,12,121,12,1,1,1,20180901
kbc3745,12,272,12,2,0,0,20180905
minamiyonokidsangel,12,33,1,0,0,0,20180814
i.l.e.t.e.l.l.e,12,43,3,3,1,1,20180902
kurumiarimoto,12,8108,11,1,0,0,20180831
toyominmin.k,0,623,0,0,0,0,19700101
_eighty_88_eight_,12,482,12,4,0,0,20180906
herbalshopadhara,12,235,4,1,0,0,20180904
af_lien,12,145,2,0,0,0,20180826
agapehealingcrystal,12,129,10,0,0,0,20180830
agito_vintage,12,397,8,1,1,0,20180903
agreable.c.clothing,12,288,0,0,0,0,20180806
ahs_handmade,12,396,6,3,1,1,20180906
aica_jewelry,12,535,8,1,1,1,20180902
ai000ai,12,3149,1,1,0,0,20180830
ainaf.fukuoka,12,138,3,2,1,1,20180904
ai.no.mannaka.products,12,170,5,0,0,0,20180822
alcontalcon,12,35,0,0,0,0,20180522
vivante_base,12,42,0,0,0,0,20180125
alohacoand,12,375,6,2,0,0,20180905
ALOHAEKOMOMAI,12,715,9,0,0,0,20180830
alwanmaroc,12,497,12,4,0,0,20180904
am.ina.pm,12,741,1,0,0,0,20180815
anachronic_vintage,10,126,10,4,0,0,20180902
ananya.hechoconamor,12,61,5,0,0,0,20180828
anbow_tochigi,12,462,10,1,4,0,20180901
anchouchou_official,12,626,12,12,12,12,20180905
andc_store,12,52,3,1,0,0,20180905
anela.kids,12,1834,12,7,9,7,20180905
anela.chappy,12,215,12,4,3,1,20180906
anela_liona,12,312,1,0,0,0,20180828
12.angeliaison.34,12,147,12,7,0,0,20180905
_angie_angie__,12,204,11,3,1,1,20180905
smasta_garden,12,310,12,2,1,1,20180903
anys_ramp,12,798,12,7,4,3,20180906
aodama_zakka,12,377,12,5,5,2,20180905
aoh_bikini,12,243,1,1,0,0,20180905
apoul_official_jp,12,241,12,1,0,0,20180906
arayacocolo,12,190,12,3,0,0,20180905
arden.hotel,12,63,12,4,0,0,20180906
aroma_of_paris,12,239,2,0,0,0,20180827
trickormind,12,30,0,0,0,0,20180706
aruto.accessory,12,131,12,3,3,3,20180901
asa.210,12,1004,12,4,0,0,20180906
tomoharu.nakagawa,12,2707,12,6,0,0,20180906
atease_style,12,201,2,0,0,0,20180825
ateliersango,12,255,2,0,0,0,20180810
atiromavs,12,270,4,2,0,0,20180903
attic_shigeo,12,114,12,6,4,3,20180905
autobikebooks,12,104,12,1,0,0,20180903
satohirotaka1129,12,329,6,2,0,0,20180905
fairtrade_awep,12,27,1,0,0,0,20180826
awesome9.shop,12,159,12,9,8,5,20180906
aya.made,12,637,6,6,6,6,20180905
aykstamp,12,455,5,3,0,0,20180905
glamjewels56,12,222,12,12,9,9,20180906
ayaminn_,12,219,12,1,0,0,20180902
azakuma3,12,73,7,2,2,1,20180831
babylonzoo2000,12,547,12,8,11,7,20180906
babystoria.preemie,12,131,5,0,0,0,20180829
bag.bus111,12,107,0,0,0,0,20180502
bambina7Italian,12,74,6,2,0,0,20180901
barber_sisters,12,116,0,0,0,0,20180516
bbetnuages,12,1432,12,2,0,0,20180905
beardman.theshop,6,21,0,0,0,0,20180731
bellelavie2017,12,215,3,0,1,0,20180828
benciny,12,348,0,0,0,0,19700101
bere.accessory,12,1389,0,0,0,0,20180307
berrry.closet,12,714,12,12,0,0,20180906
bestdayever.kaede,12,325,12,2,0,0,20180906
beurre_noisette_mito,12,26,0,0,0,0,20180328
big_chihuahua_coffee,12,77,5,1,1,1,20180901
big_land_11,12,485,10,1,1,0,20180905
biobeauty.cosme,12,7,1,1,0,0,20180902
alberi9,5,15,4,0,0,0,20180823
shoperzu,12,716,6,5,0,0,20180906
bizu_lab,12,108,0,0,0,0,20180730
kumikoblanche,12,2390,12,4,1,1,20180906
blanco_atago,12,475,12,12,12,12,20180906
blitz315,12,527,12,6,1,0,20180906
bnei_coffee.tokyo,12,1184,9,3,0,0,20180903
nao_pierce8989,12,100,0,0,0,0,20170802
boite_a_bijoux,12,564,12,3,0,0,20180905
BONCRAFT_SK8,12,512,11,1,0,0,20180904
bondir_acc,12,38,7,0,4,0,20180818
bonmi.shop,12,173,9,8,9,8,20180906
puchibonsai,10,161,2,2,0,0,20180905
bonsaiyatoki,12,3172,12,4,2,2,20180905
borsaio,12,133,7,4,0,0,20180906
botanical_sendai,12,2800,12,6,0,0,20180906
mensmelrose_h,12,2007,12,12,0,0,20180906
clothing_bowwow,12,31,0,0,0,0,20180726
bugrassfarmers,12,840,11,3,0,0,20180902
remmy_buu,12,340,5,1,0,0,20180904
bunkichiya,12,152,3,0,0,0,20180828
tomo888,12,293,6,0,0,0,20180819
cafecherish,12,953,10,2,0,0,20180902
cafe.ins,12,531,4,0,0,0,20180825
caferon.furniture,12,1078,9,3,2,2,20180906
moko.moko117,12,223,12,4,11,4,20180904
cancerleone,12,1499,12,3,0,0,20180906
CandyROONEY,12,359,12,5,9,5,20180905
caplicexx3,12,150,5,0,3,0,20180830
xxcaprice_ninexx,12,301,12,5,3,3,20180905
capricieux23,12,324,12,5,0,0,20180906
xxcapybarafunxx,12,211,5,0,0,0,20180829
carino753,12,90,4,1,0,0,20180904
carpediem_est2015,12,313,6,1,0,0,20180901
carte.official,12,37,2,1,1,1,20180901
cathy_s.select,12,622,1,0,0,0,20180825
candle.decorde,12,323,8,2,0,0,20180902
june25junjun,12,117,0,0,0,0,20180727
petit_cerfeuil,12,187,2,0,0,0,20180828
chaaami717,12,652,11,2,1,0,20180904
chai.kha,12,4064,12,3,2,0,20180903
chamoto,12,752,11,3,2,2,20180904
coco.benin,12,933,1,1,0,0,20180906
___chiaro.___,12,1371,12,3,0,0,20180906
mimifleur_accessory,12,473,12,2,0,0,20180905
chiecoffee,12,389,9,2,1,0,20180906
chikoakuse,12,83,5,3,0,0,20180904
chimera_shop_info,9,16,0,0,0,0,20180609
chipmunk_taddyhare,12,1808,9,6,2,1,20180906
gooodnightcc_,12,1934,9,2,0,0,20180906
megumiiii615,12,148,9,2,0,0,20180903
chillin.jewelry,12,101,9,2,0,0,20180903
circle_hat,12,1171,12,7,11,7,20180904
cissylady_info,12,3,8,3,8,3,20180904
kawakami.shiho,12,686,4,1,0,0,20180902
cocoirotearoom,12,388,12,7,5,3,20180905
cocolino.m,12,69,4,1,1,1,20180831
relax___luxe,12,181,5,2,0,0,20180906
cocon_iro_soushingu,12,347,12,6,1,1,20180905
coconino_t,12,458,12,8,1,1,20180906
coffee_akimoto,12,230,8,4,3,3,20180903
coffee1056bon,12,295,12,12,1,1,20180906
porte_coffee,12,261,12,10,0,0,20180906
cojunshoten,12,88,4,1,0,0,20180904
commabag,12,1937,8,1,0,0,20180903
commence1108,12,1051,12,6,6,5,20180905
emi.komorebi,12,310,12,8,0,0,20180906
coraliajp,12,207,8,1,0,0,20180903
corazon.acce,12,175,11,5,11,5,20180906
corecolor365,12,543,12,12,1,1,20180905
correpon,12,1484,12,7,0,0,20180906
cosyhana,12,87,4,1,2,1,20180904
yves_nil,12,43,9,9,7,7,20180904
__cotton_pan__,12,355,12,6,0,0,20180906
couleur_candle_plants,12,870,12,8,3,3,20180906
cozy.farm,12,234,11,6,0,0,20180905
craftlinq.work,12,286,5,2,0,0,20180904
yamanami_hm,12,1535,11,2,1,1,20180904
imadamomoko,12,155,7,6,6,5,20180906
room.h.m.a,12,430,12,4,0,0,20180903
coffee_roughnecks,12,886,12,6,0,0,20180906
aonoha_by_cronyclub,12,435,12,12,3,3,20180906
csd_shop_nagakute,12,63,0,0,0,0,20180731
ct_flag_store,12,376,6,0,0,0,20180825
cuclo_shop,12,412,12,4,0,0,20180905
cuore_556,12,485,6,1,3,1,20180831
dajeyleatherproducts,12,131,3,1,2,0,20180904
dankagu_imari,7,117,0,0,0,0,20171027
LittlePrincess_dapy0808,12,248,1,0,1,0,20180830
daruma_musashi,9,143,2,0,0,0,20180828
dayliquorstore,12,558,1,0,0,0,20180816
dcp_inc_accessories,12,51,5,3,0,0,20180831
dekiru.dekiru,12,1496,1,1,0,0,20180831
denali_sumibi,12,403,0,0,0,0,20180724
denshoku,12,531,12,7,2,1,20180906
depend_official,12,211,0,0,0,0,20180725
despair_shion,12,15,5,0,0,0,20180822
dh92_official,12,47,0,0,0,0,20180530
dimply_acc,12,701,7,2,0,0,20180903
docan.kohta,12,346,4,2,0,0,20180902
__dodo__official,12,349,10,3,0,0,20180901
dolliscafe,12,64,0,0,0,0,19700101
mof24,12,4169,12,4,12,4,20180905
doufarm,12,91,2,2,2,2,20180906
dovetail_japan,12,267,3,0,0,0,20180828
accessory_yucco,12,722,12,9,3,3,20180905
dressnandy,12,5561,12,5,0,0,20180906
ox.drole.xo,12,163,12,3,0,0,20180902
dudeinn,12,615,12,8,0,0,20180905
earth_grace,12,426,6,2,0,0,20180904
ecrin.222,12,439,12,6,6,6,20180906
eden_secret,12,742,12,4,3,2,20180904
elledecossa,12,530,12,9,0,0,20180905
elves.theshop,12,67,11,3,1,1,20180905
emera,12,960,2,1,0,0,20180904
emi_brilliant,12,310,6,0,0,0,20180827
emmadechoeur,12,1520,12,1,0,0,20180904
EmotioN_japan,12,203,1,0,0,0,20180817
enubloom,12,315,10,2,0,0,20180906
epicbazaar,12,548,12,12,0,0,20180906
epice_622,12,339,12,4,0,0,20180905
eriuhiroko,12,81,9,3,0,0,20180903
eskapua.jewel,12,96,1,0,0,0,20180824
esoracoffee,12,499,3,1,1,1,20180904
espoir.shopmail,12,191,5,0,1,0,20180828
espoir__2018,12,147,4,4,0,0,20180905
eternite.vintage,12,763,6,1,0,0,20180831
ethicus.jp,12,718,12,2,1,1,20180906
minami.8s,12,886,10,4,2,2,20180904
fairychestmaiko,12,292,12,9,2,2,20180906
famo_iruma,12,330,12,3,0,0,20180904
Farmhousecafe,12,705,12,12,0,0,20180906
favoritecore,12,125,8,5,0,0,20180905
fcbenevo,12,5258,9,2,0,0,20180905
feel_up,12,36,0,0,0,0,20170714
kiironotoguchi,12,285,6,3,0,0,20180906
ai_fikafabriken,12,2886,12,5,0,0,20180906
first_room_,12,283,3,1,0,0,20180903
fitness_in_life_,12,205,8,1,1,1,20180905
zukashi.jp,12,123,0,0,0,0,20180712
flipperyuka,12,627,6,2,0,0,20180906
floralia.jp,12,436,12,6,1,1,20180906
florilege82,12,158,12,5,4,2,20180906
fly_a_f_shop,12,820,1,1,1,1,20180831
forthepeople_tokyo,12,324,5,2,5,2,20180905
